calibration_protocol_1.1,1.4.20190923,<User Name>,15/11/2019,12:00,,
SourcePlate500_90,Source Plate 1,,MWP 384,Target Plate 1,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,
Source Well,Target Well,Volume [L],Liquid Name
A1,A1,0.0001,MgCl2 (mM)
A2,A1,0.0002,MgCl2 (mM)
A3,A1,0.0004,MgCl2 (mM)
A4,A1,0.0004,MgCl2 (mM)
A5,A1,0.0004,MgCl2 (mM)
A6,A1,0.0004,MgCl2 (mM)
A7,A1,5e-05,MgCl2 (mM)
A8,A1,0.0001,MgCl2 (mM)
A9,A1,5e-05,MgCl2 (mM)
A10,A1,0.0004,MgCl2 (mM)
A11,A1,0.00015,MgCl2 (mM)
A12,A1,0.0002,MgCl2 (mM)
B1,A1,0.0001,MgCl2 (mM)
B2,A1,5e-05,MgCl2 (mM)
B3,A1,5e-05,MgCl2 (mM)
B4,A1,0.0004,MgCl2 (mM)
B5,A1,0.0004,MgCl2 (mM)
B6,A1,5e-05,MgCl2 (mM)
B7,A1,5e-05,MgCl2 (mM)
B8,A1,0.0004,MgCl2 (mM)
B9,A1,5e-05,MgCl2 (mM)
B10,A1,5e-05,MgCl2 (mM)
B11,A1,0.0004,MgCl2 (mM)
B12,A1,0.00015,MgCl2 (mM)
C1,A1,5e-05,MgCl2 (mM)
C2,A1,5e-05,MgCl2 (mM)
C3,A1,0.0002,MgCl2 (mM)
C4,A1,5e-05,MgCl2 (mM)
C5,A1,5e-05,MgCl2 (mM)
C6,A1,5e-05,MgCl2 (mM)
C7,A1,0.0004,MgCl2 (mM)
C8,A1,5e-05,MgCl2 (mM)
C9,A1,0.0004,MgCl2 (mM)
C10,A1,0.0004,MgCl2 (mM)
C11,A1,0.0004,MgCl2 (mM)
C12,A1,0.0002,MgCl2 (mM)
D1,A1,0.0004,MgCl2 (mM)
D2,A1,0.0004,MgCl2 (mM)
D3,A1,5e-05,MgCl2 (mM)
D4,A1,5e-05,MgCl2 (mM)
D5,A1,0.0002,MgCl2 (mM)
D6,A1,0.0001,MgCl2 (mM)
D7,A1,5e-05,MgCl2 (mM)
D8,A1,5e-05,MgCl2 (mM)
D9,A1,0.0004,MgCl2 (mM)
D10,A1,5e-05,MgCl2 (mM)
D11,A1,0.0004,MgCl2 (mM)
D12,A1,0.0004,MgCl2 (mM)
E1,A1,0.0004,MgCl2 (mM)
E2,A1,5e-05,MgCl2 (mM)
E3,A1,0.00015,MgCl2 (mM)
E4,A1,5e-05,MgCl2 (mM)
E5,A1,5e-05,MgCl2 (mM)
E6,A1,0.0004,MgCl2 (mM)
E7,A1,0.0001,MgCl2 (mM)
E8,A1,0.0004,MgCl2 (mM)
E9,A1,5e-05,MgCl2 (mM)
E10,A1,5e-05,MgCl2 (mM)
E11,A1,5e-05,MgCl2 (mM)
E12,A1,0.0004,MgCl2 (mM)
F1,A1,5e-05,MgCl2 (mM)
F2,A1,0.0004,MgCl2 (mM)
F3,A1,0.0004,MgCl2 (mM)
F4,A1,5e-05,MgCl2 (mM)
F5,A1,0.0001,MgCl2 (mM)
F6,A1,5e-05,MgCl2 (mM)
F7,A1,0.0004,MgCl2 (mM)
F8,A1,5e-05,MgCl2 (mM)
F9,A1,0.0004,MgCl2 (mM)
F10,A1,0.0004,MgCl2 (mM)
F11,A1,5e-05,MgCl2 (mM)
F12,A1,0.0004,MgCl2 (mM)
G1,A1,0.0001,MgCl2 (mM)
G2,A1,5e-05,MgCl2 (mM)
G3,A1,0.0004,MgCl2 (mM)
G4,A1,0.0004,MgCl2 (mM)
G5,A1,0.0004,MgCl2 (mM)
G6,A1,0.00015,MgCl2 (mM)
G7,A1,0.0002,MgCl2 (mM)
G8,A1,5e-05,MgCl2 (mM)
G9,A1,0.0004,MgCl2 (mM)
G10,A1,5e-05,MgCl2 (mM)
G11,A1,0.0004,MgCl2 (mM)
G12,A1,0.0004,MgCl2 (mM)
H1,A1,0.0004,MgCl2 (mM)
H2,A1,5e-05,MgCl2 (mM)
H3,A1,0.0004,MgCl2 (mM)
H4,A1,5e-05,MgCl2 (mM)
H5,A1,0.00015,MgCl2 (mM)
H6,A1,0.0001,MgCl2 (mM)
H7,A1,5e-05,MgCl2 (mM)
H8,A1,5e-05,MgCl2 (mM)
A1,A1,0.003,(NH4)2SO4 (mM)
A2,A1,0.0,(NH4)2SO4 (mM)
A3,A1,0.0,(NH4)2SO4 (mM)
A4,A1,0.0,(NH4)2SO4 (mM)
A5,A1,0.015,(NH4)2SO4 (mM)
A6,A1,0.015,(NH4)2SO4 (mM)
A7,A1,0.015,(NH4)2SO4 (mM)
A8,A1,0.006,(NH4)2SO4 (mM)
A9,A1,0.0,(NH4)2SO4 (mM)
A10,A1,0.015,(NH4)2SO4 (mM)
A11,A1,0.003,(NH4)2SO4 (mM)
A12,A1,0.01,(NH4)2SO4 (mM)
B1,A1,0.015,(NH4)2SO4 (mM)
B2,A1,0.0,(NH4)2SO4 (mM)
B3,A1,0.015,(NH4)2SO4 (mM)
B4,A1,0.015,(NH4)2SO4 (mM)
B5,A1,0.015,(NH4)2SO4 (mM)
B6,A1,0.015,(NH4)2SO4 (mM)
B7,A1,0.015,(NH4)2SO4 (mM)
B8,A1,0.0,(NH4)2SO4 (mM)
B9,A1,0.0,(NH4)2SO4 (mM)
B10,A1,0.0,(NH4)2SO4 (mM)
B11,A1,0.0,(NH4)2SO4 (mM)
B12,A1,0.015,(NH4)2SO4 (mM)
C1,A1,0.015,(NH4)2SO4 (mM)
C2,A1,0.0,(NH4)2SO4 (mM)
C3,A1,0.006,(NH4)2SO4 (mM)
C4,A1,0.0,(NH4)2SO4 (mM)
C5,A1,0.015,(NH4)2SO4 (mM)
C6,A1,0.015,(NH4)2SO4 (mM)
C7,A1,0.0,(NH4)2SO4 (mM)
C8,A1,0.015,(NH4)2SO4 (mM)
C9,A1,0.0,(NH4)2SO4 (mM)
C10,A1,0.0,(NH4)2SO4 (mM)
C11,A1,0.0,(NH4)2SO4 (mM)
C12,A1,0.003,(NH4)2SO4 (mM)
D1,A1,0.0,(NH4)2SO4 (mM)
D2,A1,0.0,(NH4)2SO4 (mM)
D3,A1,0.015,(NH4)2SO4 (mM)
D4,A1,0.015,(NH4)2SO4 (mM)
D5,A1,0.01,(NH4)2SO4 (mM)
D6,A1,0.006,(NH4)2SO4 (mM)
D7,A1,0.015,(NH4)2SO4 (mM)
D8,A1,0.0,(NH4)2SO4 (mM)
D9,A1,0.006,(NH4)2SO4 (mM)
D10,A1,0.0,(NH4)2SO4 (mM)
D11,A1,0.015,(NH4)2SO4 (mM)
D12,A1,0.015,(NH4)2SO4 (mM)
E1,A1,0.015,(NH4)2SO4 (mM)
E2,A1,0.0,(NH4)2SO4 (mM)
E3,A1,0.01,(NH4)2SO4 (mM)
E4,A1,0.015,(NH4)2SO4 (mM)
E5,A1,0.0,(NH4)2SO4 (mM)
E6,A1,0.01,(NH4)2SO4 (mM)
E7,A1,0.015,(NH4)2SO4 (mM)
E8,A1,0.015,(NH4)2SO4 (mM)
E9,A1,0.0,(NH4)2SO4 (mM)
E10,A1,0.0,(NH4)2SO4 (mM)
E11,A1,0.0,(NH4)2SO4 (mM)
E12,A1,0.0,(NH4)2SO4 (mM)
F1,A1,0.015,(NH4)2SO4 (mM)
F2,A1,0.015,(NH4)2SO4 (mM)
F3,A1,0.0,(NH4)2SO4 (mM)
F4,A1,0.006,(NH4)2SO4 (mM)
F5,A1,0.003,(NH4)2SO4 (mM)
F6,A1,0.0,(NH4)2SO4 (mM)
F7,A1,0.015,(NH4)2SO4 (mM)
F8,A1,0.0,(NH4)2SO4 (mM)
F9,A1,0.015,(NH4)2SO4 (mM)
F10,A1,0.0,(NH4)2SO4 (mM)
F11,A1,0.015,(NH4)2SO4 (mM)
F12,A1,0.003,(NH4)2SO4 (mM)
G1,A1,0.015,(NH4)2SO4 (mM)
G2,A1,0.015,(NH4)2SO4 (mM)
G3,A1,0.015,(NH4)2SO4 (mM)
G4,A1,0.0,(NH4)2SO4 (mM)
G5,A1,0.0,(NH4)2SO4 (mM)
G6,A1,0.006,(NH4)2SO4 (mM)
G7,A1,0.0,(NH4)2SO4 (mM)
G8,A1,0.01,(NH4)2SO4 (mM)
G9,A1,0.015,(NH4)2SO4 (mM)
G10,A1,0.003,(NH4)2SO4 (mM)
G11,A1,0.015,(NH4)2SO4 (mM)
G12,A1,0.015,(NH4)2SO4 (mM)
H1,A1,0.015,(NH4)2SO4 (mM)
H2,A1,0.003,(NH4)2SO4 (mM)
H3,A1,0.0,(NH4)2SO4 (mM)
H4,A1,0.0,(NH4)2SO4 (mM)
H5,A1,0.0,(NH4)2SO4 (mM)
H6,A1,0.01,(NH4)2SO4 (mM)
H7,A1,0.015,(NH4)2SO4 (mM)
H8,A1,0.0,(NH4)2SO4 (mM)
A1,A1,0.01,KCl (mM)
A2,A1,0.015,KCl (mM)
A3,A1,0.0,KCl (mM)
A4,A1,0.025,KCl (mM)
A5,A1,0.025,KCl (mM)
A6,A1,0.0,KCl (mM)
A7,A1,0.025,KCl (mM)
A8,A1,0.0,KCl (mM)
A9,A1,0.025,KCl (mM)
A10,A1,0.025,KCl (mM)
A11,A1,0.0,KCl (mM)
A12,A1,0.0,KCl (mM)
B1,A1,0.01,KCl (mM)
B2,A1,0.025,KCl (mM)
B3,A1,0.025,KCl (mM)
B4,A1,0.0,KCl (mM)
B5,A1,0.025,KCl (mM)
B6,A1,0.0,KCl (mM)
B7,A1,0.0,KCl (mM)
B8,A1,0.0,KCl (mM)
B9,A1,0.0,KCl (mM)
B10,A1,0.0,KCl (mM)
B11,A1,0.025,KCl (mM)
B12,A1,0.005,KCl (mM)
C1,A1,0.025,KCl (mM)
C2,A1,0.0,KCl (mM)
C3,A1,0.005,KCl (mM)
C4,A1,0.025,KCl (mM)
C5,A1,0.025,KCl (mM)
C6,A1,0.0,KCl (mM)
C7,A1,0.025,KCl (mM)
C8,A1,0.025,KCl (mM)
C9,A1,0.0,KCl (mM)
C10,A1,0.025,KCl (mM)
C11,A1,0.025,KCl (mM)
C12,A1,0.015,KCl (mM)
D1,A1,0.0,KCl (mM)
D2,A1,0.0,KCl (mM)
D3,A1,0.0,KCl (mM)
D4,A1,0.0,KCl (mM)
D5,A1,0.025,KCl (mM)
D6,A1,0.025,KCl (mM)
D7,A1,0.025,KCl (mM)
D8,A1,0.025,KCl (mM)
D9,A1,0.015,KCl (mM)
D10,A1,0.0,KCl (mM)
D11,A1,0.0,KCl (mM)
D12,A1,0.025,KCl (mM)
E1,A1,0.0,KCl (mM)
E2,A1,0.0,KCl (mM)
E3,A1,0.015,KCl (mM)
E4,A1,0.025,KCl (mM)
E5,A1,0.0,KCl (mM)
E6,A1,0.01,KCl (mM)
E7,A1,0.0,KCl (mM)
E8,A1,0.025,KCl (mM)
E9,A1,0.025,KCl (mM)
E10,A1,0.025,KCl (mM)
E11,A1,0.0,KCl (mM)
E12,A1,0.025,KCl (mM)
F1,A1,0.025,KCl (mM)
F2,A1,0.005,KCl (mM)
F3,A1,0.0,KCl (mM)
F4,A1,0.01,KCl (mM)
F5,A1,0.025,KCl (mM)
F6,A1,0.025,KCl (mM)
F7,A1,0.0,KCl (mM)
F8,A1,0.025,KCl (mM)
F9,A1,0.0,KCl (mM)
F10,A1,0.0,KCl (mM)
F11,A1,0.0,KCl (mM)
F12,A1,0.005,KCl (mM)
G1,A1,0.015,KCl (mM)
G2,A1,0.0,KCl (mM)
G3,A1,0.025,KCl (mM)
G4,A1,0.025,KCl (mM)
G5,A1,0.0,KCl (mM)
G6,A1,0.01,KCl (mM)
G7,A1,0.01,KCl (mM)
G8,A1,0.015,KCl (mM)
G9,A1,0.025,KCl (mM)
G10,A1,0.005,KCl (mM)
G11,A1,0.0,KCl (mM)
G12,A1,0.025,KCl (mM)
H1,A1,0.0,KCl (mM)
H2,A1,0.025,KCl (mM)
H3,A1,0.025,KCl (mM)
H4,A1,0.005,KCl (mM)
H5,A1,0.025,KCl (mM)
H6,A1,0.005,KCl (mM)
H7,A1,0.0,KCl (mM)
H8,A1,0.0,KCl (mM)
A1,A1,0.00012,Enzyme (ng/ul)
A2,A1,6e-05,Enzyme (ng/ul)
A3,A1,0.00192,Enzyme (ng/ul)
A4,A1,0.00192,Enzyme (ng/ul)
A5,A1,0.00012,Enzyme (ng/ul)
A6,A1,0.00192,Enzyme (ng/ul)
A7,A1,6e-05,Enzyme (ng/ul)
A8,A1,0.00048,Enzyme (ng/ul)
A9,A1,6e-05,Enzyme (ng/ul)
A10,A1,0.00192,Enzyme (ng/ul)
A11,A1,0.00024,Enzyme (ng/ul)
A12,A1,6e-05,Enzyme (ng/ul)
B1,A1,0.00024,Enzyme (ng/ul)
B2,A1,0.00192,Enzyme (ng/ul)
B3,A1,0.00192,Enzyme (ng/ul)
B4,A1,0.00012,Enzyme (ng/ul)
B5,A1,6e-05,Enzyme (ng/ul)
B6,A1,0.00192,Enzyme (ng/ul)
B7,A1,0.00192,Enzyme (ng/ul)
B8,A1,0.00012,Enzyme (ng/ul)
B9,A1,0.00192,Enzyme (ng/ul)
B10,A1,0.00192,Enzyme (ng/ul)
B11,A1,0.00192,Enzyme (ng/ul)
B12,A1,0.00048,Enzyme (ng/ul)
C1,A1,6e-05,Enzyme (ng/ul)
C2,A1,0.00192,Enzyme (ng/ul)
C3,A1,0.00024,Enzyme (ng/ul)
C4,A1,0.00192,Enzyme (ng/ul)
C5,A1,0.00192,Enzyme (ng/ul)
C6,A1,0.00012,Enzyme (ng/ul)
C7,A1,0.00012,Enzyme (ng/ul)
C8,A1,0.00192,Enzyme (ng/ul)
C9,A1,6e-05,Enzyme (ng/ul)
C10,A1,6e-05,Enzyme (ng/ul)
C11,A1,6e-05,Enzyme (ng/ul)
C12,A1,0.00048,Enzyme (ng/ul)
D1,A1,0.00192,Enzyme (ng/ul)
D2,A1,6e-05,Enzyme (ng/ul)
D3,A1,6e-05,Enzyme (ng/ul)
D4,A1,6e-05,Enzyme (ng/ul)
D5,A1,0.00012,Enzyme (ng/ul)
D6,A1,0.00012,Enzyme (ng/ul)
D7,A1,6e-05,Enzyme (ng/ul)
D8,A1,0.00192,Enzyme (ng/ul)
D9,A1,0.00096,Enzyme (ng/ul)
D10,A1,0.00192,Enzyme (ng/ul)
D11,A1,0.00192,Enzyme (ng/ul)
D12,A1,0.00192,Enzyme (ng/ul)
E1,A1,0.00012,Enzyme (ng/ul)
E2,A1,6e-05,Enzyme (ng/ul)
E3,A1,0.00012,Enzyme (ng/ul)
E4,A1,0.00012,Enzyme (ng/ul)
E5,A1,6e-05,Enzyme (ng/ul)
E6,A1,0.00048,Enzyme (ng/ul)
E7,A1,0.00048,Enzyme (ng/ul)
E8,A1,6e-05,Enzyme (ng/ul)
E9,A1,0.00024,Enzyme (ng/ul)
E10,A1,0.00024,Enzyme (ng/ul)
E11,A1,0.00024,Enzyme (ng/ul)
E12,A1,6e-05,Enzyme (ng/ul)
F1,A1,0.00192,Enzyme (ng/ul)
F2,A1,6e-05,Enzyme (ng/ul)
F3,A1,0.00192,Enzyme (ng/ul)
F4,A1,0.00048,Enzyme (ng/ul)
F5,A1,6e-05,Enzyme (ng/ul)
F6,A1,6e-05,Enzyme (ng/ul)
F7,A1,6e-05,Enzyme (ng/ul)
F8,A1,0.00192,Enzyme (ng/ul)
F9,A1,0.00012,Enzyme (ng/ul)
F10,A1,6e-05,Enzyme (ng/ul)
F11,A1,0.00192,Enzyme (ng/ul)
F12,A1,0.00024,Enzyme (ng/ul)
G1,A1,0.00024,Enzyme (ng/ul)
G2,A1,0.00192,Enzyme (ng/ul)
G3,A1,6e-05,Enzyme (ng/ul)
G4,A1,0.00192,Enzyme (ng/ul)
G5,A1,0.00192,Enzyme (ng/ul)
G6,A1,6e-05,Enzyme (ng/ul)
G7,A1,0.00096,Enzyme (ng/ul)
G8,A1,0.00024,Enzyme (ng/ul)
G9,A1,0.00192,Enzyme (ng/ul)
G10,A1,0.00012,Enzyme (ng/ul)
G11,A1,0.00192,Enzyme (ng/ul)
G12,A1,0.00192,Enzyme (ng/ul)
H1,A1,0.00192,Enzyme (ng/ul)
H2,A1,0.00096,Enzyme (ng/ul)
H3,A1,0.00192,Enzyme (ng/ul)
H4,A1,0.00012,Enzyme (ng/ul)
H5,A1,0.00096,Enzyme (ng/ul)
H6,A1,0.00096,Enzyme (ng/ul)
H7,A1,6e-05,Enzyme (ng/ul)
H8,A1,6e-05,Enzyme (ng/ul)
A1,A1,0.005,TMAC (mM)
A2,A1,0.015,TMAC (mM)
A3,A1,0.02,TMAC (mM)
A4,A1,0.0,TMAC (mM)
A5,A1,0.0,TMAC (mM)
A6,A1,0.0,TMAC (mM)
A7,A1,0.0,TMAC (mM)
A8,A1,0.0,TMAC (mM)
A9,A1,0.02,TMAC (mM)
