calibration_protocol_1.1,1.4.20190923,<User Name>,15/11/2019,12:00,,
SourcePlate500_90,Source Plate 1,,MWP 384,Target Plate 1,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,
,Source Well,Target Well,Volume [L],Liquid Name
0,A1,A1,5e-05,MgCl2 (mM)
1,A2,A1,0.0001,MgCl2 (mM)
2,A3,A1,0.0002,MgCl2 (mM)
3,A4,A1,0.0002,MgCl2 (mM)
4,A5,A1,0.0002,MgCl2 (mM)
5,A6,A1,0.0002,MgCl2 (mM)
6,A7,A1,2.5e-05,MgCl2 (mM)
7,A8,A1,5e-05,MgCl2 (mM)
8,A9,A1,2.5e-05,MgCl2 (mM)
9,A10,A1,0.0002,MgCl2 (mM)
10,A11,A1,7.5e-05,MgCl2 (mM)
11,A12,A1,0.0001,MgCl2 (mM)
12,B1,A1,5e-05,MgCl2 (mM)
13,B2,A1,2.5e-05,MgCl2 (mM)
14,B3,A1,2.5e-05,MgCl2 (mM)
15,B4,A1,0.0002,MgCl2 (mM)
16,B5,A1,0.0002,MgCl2 (mM)
17,B6,A1,2.5e-05,MgCl2 (mM)
18,B7,A1,2.5e-05,MgCl2 (mM)
19,B8,A1,0.0002,MgCl2 (mM)
20,B9,A1,2.5e-05,MgCl2 (mM)
21,B10,A1,2.5e-05,MgCl2 (mM)
22,B11,A1,0.0002,MgCl2 (mM)
23,B12,A1,7.5e-05,MgCl2 (mM)
24,C1,A1,2.5e-05,MgCl2 (mM)
25,C2,A1,2.5e-05,MgCl2 (mM)
26,C3,A1,0.0001,MgCl2 (mM)
27,C4,A1,2.5e-05,MgCl2 (mM)
28,C5,A1,2.5e-05,MgCl2 (mM)
29,C6,A1,2.5e-05,MgCl2 (mM)
30,C7,A1,0.0002,MgCl2 (mM)
31,C8,A1,2.5e-05,MgCl2 (mM)
32,C9,A1,0.0002,MgCl2 (mM)
33,C10,A1,0.0002,MgCl2 (mM)
34,C11,A1,0.0002,MgCl2 (mM)
35,C12,A1,0.0001,MgCl2 (mM)
36,D1,A1,0.0002,MgCl2 (mM)
37,D2,A1,0.0002,MgCl2 (mM)
38,D3,A1,2.5e-05,MgCl2 (mM)
39,D4,A1,2.5e-05,MgCl2 (mM)
40,D5,A1,0.0001,MgCl2 (mM)
41,D6,A1,5e-05,MgCl2 (mM)
42,D7,A1,2.5e-05,MgCl2 (mM)
43,D8,A1,2.5e-05,MgCl2 (mM)
44,D9,A1,0.0002,MgCl2 (mM)
45,D10,A1,2.5e-05,MgCl2 (mM)
46,D11,A1,0.0002,MgCl2 (mM)
47,D12,A1,0.0002,MgCl2 (mM)
48,E1,A1,0.0002,MgCl2 (mM)
49,E2,A1,2.5e-05,MgCl2 (mM)
50,E3,A1,7.5e-05,MgCl2 (mM)
51,E4,A1,2.5e-05,MgCl2 (mM)
52,E5,A1,2.5e-05,MgCl2 (mM)
53,E6,A1,0.0002,MgCl2 (mM)
54,E7,A1,5e-05,MgCl2 (mM)
55,E8,A1,0.0002,MgCl2 (mM)
56,E9,A1,2.5e-05,MgCl2 (mM)
57,E10,A1,2.5e-05,MgCl2 (mM)
58,E11,A1,2.5e-05,MgCl2 (mM)
59,E12,A1,0.0002,MgCl2 (mM)
60,F1,A1,2.5e-05,MgCl2 (mM)
61,F2,A1,0.0002,MgCl2 (mM)
62,F3,A1,0.0002,MgCl2 (mM)
63,F4,A1,2.5e-05,MgCl2 (mM)
64,F5,A1,5e-05,MgCl2 (mM)
65,F6,A1,2.5e-05,MgCl2 (mM)
66,F7,A1,0.0002,MgCl2 (mM)
